gvim,emacs,"git bash",notepad,"vbox_terminal",vs2013,powershell,sublime,"notepad++"
19.83,19.86,59.91,19.80,59.05,20.33,20.00,19.94,20.94
19.97,19.80,59.85,19.82,59.64,20.31,19.61,19.15,21.01
19.88,19.70,59.77,19.85,59.53,20.28,19.81,19.94,20.93
19.89,20.02,59.85,19.80,59.59,20.37,19.79,18.94,20.89
19.87,19.92,60.29,19.83,59.56,20.14,20.07,19.89,21.06
19.80,19.94,40.26,19.85,59.62,20.27,19.90,19.27,20.98
19.87,20.03,59.93,19.82,59.40,20.26,19.93,19.90,20.97
19.77,20.03,59.82,19.94,59.61,20.04,20.19,19.00,20.88
19.85,19.99,59.90,19.82,59.66,20.36,19.82,19.89,20.98
19.82,20.01,60.35,19.93,59.66,20.19,19.94,19.20,20.97
19.91,19.96,60.16,19.87,79.76,20.12,19.89,19.89,20.93
19.81,19.89,59.87,19.88,59.74,20.27,19.73,19.11,20.87
19.81,19.86,59.96,19.91,59.55,20.27,19.93,19.93,20.99
19.75,19.96,40.22,19.83,80.01,20.21,19.89,19.26,20.87
19.81,19.86,60.30,20.02,59.38,20.27,19.99,19.90,20.94
19.81,20.06,60.28,19.88,80.10,20.24,19.86,19.01,20.92
19.87,19.83,40.12,19.83,59.43,20.33,19.79,19.88,20.94
19.80,19.89,59.85,19.88,59.51,20.41,19.97,19.26,20.92
19.84,19.95,59.85,19.83,79.94,20.26,19.95,19.93,20.94
19.77,19.79,59.86,20.03,59.65,20.18,19.90,19.15,20.87
19.89,19.95,60.27,20.01,59.53,20.24,19.85,19.84,20.90
19.93,19.87,40.18,20.02,79.82,20.29,19.88,18.75,20.86
19.85,20.01,59.93,20.02,59.46,20.24,20.01,19.89,20.94
19.90,19.91,59.89,19.90,59.27,20.40,19.80,19.27,20.92
19.89,20.06,59.89,19.80,59.71,20.27,19.84,19.96,20.88
19.84,19.65,60.13,19.80,59.65,20.26,19.98,19.18,21.00
19.85,19.92,60.22,19.87,79.80,20.31,19.92,19.97,20.99
19.71,19.78,40.13,19.77,59.48,20.34,19.95,19.03,20.94
19.90,19.87,60.21,19.82,59.45,20.25,19.82,19.91,20.98
19.94,19.86,59.89,19.92,59.55,20.28,19.98,19.28,20.94
19.78,19.79,60.31,19.79,59.49,20.32,19.80,19.81,20.92
19.89,19.71,60.23,19.92,59.70,20.38,19.99,19.44,20.90
19.85,19.88,40.13,19.91,59.77,20.26,19.90,19.92,20.82
19.89,19.72,59.91,19.78,59.56,20.34,19.85,19.21,20.93
19.82,20.04,60.32,19.89,59.72,20.26,20.00,19.99,20.88
19.79,19.64,59.88,19.91,59.68,20.27,20.05,18.99,20.82
19.85,19.98,60.31,19.97,59.47,20.30,19.74,19.94,20.93
19.90,20.04,40.13,19.82,59.59,20.29,19.94,19.08,20.80
19.88,19.93,60.35,19.82,59.48,20.32,20.02,19.90,20.86
19.82,19.89,59.86,19.86,59.54,20.31,19.98,19.21,20.87
19.96,19.81,60.30,19.86,59.71,20.41,19.79,20.00,20.99
19.82,19.97,59.89,19.97,59.70,20.30,19.76,19.11,20.83
19.92,19.89,40.34,19.83,59.63,20.40,179.55,19.92,20.72
19.91,20.03,59.93,19.81,59.64,20.25,20.12,19.38,20.83
20.16,179.68,60.31,19.83,79.76,20.38,19.88,19.91,20.90
19.76,20.04,59.89,19.86,59.54,20.29,19.96,19.09,20.94
19.89,19.86,60.27,19.95,59.56,20.33,19.91,19.92,20.89
19.79,19.86,60.21,19.81,59.40,20.38,19.73,19.14,20.87
19.93,19.91,40.11,19.88,59.58,20.45,19.98,19.95,20.88
19.82,19.96,59.86,19.97,59.56,20.31,20.03,19.12,20.98
19.95,19.93,60.26,19.96,59.50,20.28,19.78,19.91,20.80
19.78,19.81,59.90,19.84,59.53,20.25,20.01,19.93,20.83
19.93,20.03,60.26,19.97,59.58,20.31,20.02,20.01,20.75
19.90,19.79,40.12,19.83,59.77,20.25,19.85,19.85,20.80
19.92,19.86,59.86,19.86,59.65,20.37,19.90,19.87,20.79
19.83,19.81,59.93,19.81,59.57,20.29,19.88,19.87,20.77
19.92,19.98,59.83,19.83,59.55,20.25,19.74,19.82,20.86
19.84,19.79,60.37,19.79,59.49,20.24,19.88,19.86,20.88
19.94,19.80,60.08,19.84,59.72,20.35,19.93,19.81,20.78
19.87,20.01,40.21,19.79,59.58,20.41,19.86,19.90,20.81
19.93,19.81,59.87,19.92,59.57,20.42,20.00,19.86,20.80
19.91,19.85,59.88,19.85,59.55,20.31,19.76,19.85,20.86
19.96,20.03,60.36,19.86,59.54,20.30,20.34,19.87,20.70
19.84,19.87,59.96,19.91,59.60,20.47,19.97,19.91,20.88
19.94,19.87,40.18,20.61,59.62,20.33,20.27,19.83,20.76
19.78,20.03,59.90,19.80,59.46,20.25,20.18,19.88,20.81
19.85,20.04,40.21,19.79,59.60,20.34,19.89,19.91,20.90
19.87,19.99,60.28,19.77,59.10,20.27,19.81,19.94,20.87
19.91,19.91,60.00,19.91,59.71,20.34,20.30,19.89,21.01
19.85,19.85,59.82,19.88,59.64,20.36,19.77,19.93,20.90
19.98,19.86,60.37,19.85,59.57,20.29,19.94,19.83,20.77
19.89,20.01,59.87,19.82,59.57,20.23,19.62,19.88,20.83
19.88,19.81,59.86,19.92,59.67,20.37,19.81,19.93,20.78
19.94,19.84,60.24,19.94,59.52,20.36,19.95,19.90,20.89
19.84,19.88,60.03,19.84,59.58,20.34,19.50,19.80,20.88
19.80,19.90,40.15,19.79,59.60,20.20,19.89,19.93,20.94
19.94,19.99,80.13,19.91,59.55,20.39,19.97,19.84,20.77
19.77,20.06,40.14,19.78,59.86,20.42,19.61,19.93,20.79
19.85,19.80,59.86,19.88,59.64,20.08,19.82,19.84,20.81
