TextFile1.txt - Microsoft Visual Studio
Run 0...
Capturing window (5, 36, 1358, 382)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-504.240085 ms	0.000000 ms	0 
frame01.bmp	11.329337 ms	515.569423 ms	45 ignored
frame02.bmp	27.964940 ms	16.635602 ms	45 ignored
frame03.bmp	60.592413 ms	32.627474 ms	3621 <-- changed
frame04.bmp	77.919369 ms	17.326956 ms	3621 
frame05.bmp	94.615732 ms	16.696363 ms	3621 
frame06.bmp	111.408983 ms	16.793251 ms	3621 
frame07.bmp	143.785615 ms	32.376632 ms	3621 
frame08.bmp	161.103949 ms	17.318335 ms	3621 
frame09.bmp	177.735036 ms	16.631086 ms	3621 
frame10.bmp	194.308235 ms	16.573200 ms	3621 
frame11.bmp	210.972986 ms	16.664751 ms	3621 
frame12.bmp	227.635684 ms	16.662698 ms	3621 
frame13.bmp	244.256918 ms	16.621233 ms	3621 
frame14.bmp	260.921668 ms	16.664751 ms	3621 
frame15.bmp	277.476394 ms	16.554725 ms	3621 
frame16.bmp	294.166598 ms	16.690204 ms	3621 
frame17.bmp	310.768536 ms	16.601938 ms	3621 
frame18.bmp	327.428360 ms	16.659824 ms	3621 
frame19.bmp	344.060678 ms	16.632318 ms	3621 
frame20.bmp	360.748830 ms	16.688152 ms	3621 
frame21.bmp	377.550291 ms	16.801462 ms	3621 
frame22.bmp	394.275392 ms	16.725101 ms	3621 
frame23.bmp	410.997208 ms	16.721816 ms	3621 
frame24.bmp	443.265046 ms	32.267838 ms	3621 
frame25.bmp	476.450858 ms	33.185812 ms	3959 
frame26.bmp	509.701535 ms	33.250677 ms	3959 
frame27.bmp	542.996962 ms	33.295427 ms	3959 
frame28.bmp	560.265621 ms	17.268659 ms	3959 
frame29.bmp	576.883160 ms	16.617538 ms	3959 

Estimated latency: 60.592413 ms
Run 1...
Capturing window (5, 36, 1358, 382)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-505.864603 ms	0.000000 ms	0 
frame01.bmp	9.847689 ms	515.712292 ms	45 ignored
frame02.bmp	42.565071 ms	32.717382 ms	264 <-- changed
frame03.bmp	59.678956 ms	17.113885 ms	264 
frame04.bmp	76.323590 ms	16.644634 ms	264 
frame05.bmp	92.904179 ms	16.580590 ms	264 
frame06.bmp	109.622301 ms	16.718121 ms	264 
frame07.bmp	126.237376 ms	16.615075 ms	264 
frame08.bmp	142.875031 ms	16.637655 ms	264 
frame09.bmp	159.507349 ms	16.632318 ms	264 
frame10.bmp	176.321127 ms	16.813778 ms	264 
frame11.bmp	192.719435 ms	16.398309 ms	264 
frame12.bmp	209.328352 ms	16.608917 ms	264 
frame13.bmp	226.001314 ms	16.672962 ms	264 
frame14.bmp	242.626652 ms	16.625339 ms	264 
frame15.bmp	259.267592 ms	16.640939 ms	264 
frame16.bmp	275.875688 ms	16.608096 ms	264 
frame17.bmp	292.542491 ms	16.666804 ms	264 
frame18.bmp	325.208556 ms	32.666065 ms	219 
frame19.bmp	342.531407 ms	17.322851 ms	219 
frame20.bmp	359.252402 ms	16.720995 ms	219 
frame21.bmp	375.802611 ms	16.550209 ms	219 
frame22.bmp	392.503490 ms	16.700879 ms	219 
frame23.bmp	409.101732 ms	16.598243 ms	219 
frame24.bmp	425.757041 ms	16.655308 ms	219 
frame25.bmp	442.372526 ms	16.615486 ms	219 
frame26.bmp	458.989654 ms	16.617128 ms	219 
frame27.bmp	475.580097 ms	16.590443 ms	219 
frame28.bmp	492.229247 ms	16.649150 ms	219 
frame29.bmp	508.898924 ms	16.669677 ms	219 

Estimated latency: 42.565071 ms
Run 2...
Capturing window (5, 36, 1358, 382)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-510.440102 ms	0.000000 ms	0 
frame01.bmp	37.970277 ms	548.410379 ms	344 <-- changed
frame02.bmp	71.166762 ms	33.196486 ms	344 
frame03.bmp	88.300764 ms	17.134001 ms	344 
frame04.bmp	104.926102 ms	16.625339 ms	344 
frame05.bmp	121.555957 ms	16.629855 ms	344 
frame06.bmp	138.164874 ms	16.608917 ms	344 
frame07.bmp	154.812793 ms	16.647919 ms	344 
frame08.bmp	171.451679 ms	16.638887 ms	344 
frame09.bmp	204.163724 ms	32.712045 ms	299 
frame10.bmp	221.484933 ms	17.321209 ms	299 
frame11.bmp	238.100829 ms	16.615896 ms	299 
frame12.bmp	254.775433 ms	16.674604 ms	299 
frame13.bmp	271.358075 ms	16.582642 ms	299 
frame14.bmp	287.947286 ms	16.589211 ms	299 
frame15.bmp	304.634206 ms	16.686920 ms	299 
frame16.bmp	321.271040 ms	16.636834 ms	299 
frame17.bmp	337.875441 ms	16.604401 ms	299 
frame18.bmp	354.533623 ms	16.658182 ms	299 
frame19.bmp	371.133919 ms	16.600296 ms	299 
frame20.bmp	387.810986 ms	16.677067 ms	299 
frame21.bmp	404.421545 ms	16.610559 ms	299 
frame22.bmp	421.069464 ms	16.647919 ms	299 
frame23.bmp	437.723541 ms	16.654077 ms	299 
frame24.bmp	454.389112 ms	16.665572 ms	299 
frame25.bmp	470.993513 ms	16.604401 ms	299 
frame26.bmp	487.620905 ms	16.627391 ms	299 
frame27.bmp	504.266771 ms	16.645866 ms	299 
frame28.bmp	520.905657 ms	16.638887 ms	299 
frame29.bmp	537.477215 ms	16.571558 ms	299 

Estimated latency: 37.970277 ms
Run 3...
Capturing window (5, 36, 1358, 382)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-512.563018 ms	0.000000 ms	0 
frame01.bmp	35.445849 ms	548.008868 ms	299 <-- changed
frame02.bmp	68.639461 ms	33.193612 ms	299 
frame03.bmp	85.815338 ms	17.175877 ms	299 
frame04.bmp	102.412760 ms	16.597422 ms	299 
frame05.bmp	119.065194 ms	16.652435 ms	299 
frame06.bmp	135.694638 ms	16.629444 ms	299 
frame07.bmp	152.329419 ms	16.634781 ms	299 
frame08.bmp	168.930536 ms	16.601117 ms	299 
frame09.bmp	185.588718 ms	16.658182 ms	299 
frame10.bmp	202.259217 ms	16.670498 ms	299 
frame11.bmp	218.946958 ms	16.687741 ms	299 
frame12.bmp	235.512357 ms	16.565399 ms	299 
frame13.bmp	252.175466 ms	16.663109 ms	299 
frame14.bmp	268.774530 ms	16.599064 ms	299 
frame15.bmp	285.454060 ms	16.679530 ms	299 
frame16.bmp	302.062567 ms	16.608506 ms	299 
frame17.bmp	318.604565 ms	16.541999 ms	299 
frame18.bmp	335.268495 ms	16.663930 ms	299 
frame19.bmp	351.919698 ms	16.651203 ms	299 
frame20.bmp	368.539289 ms	16.619591 ms	299 
frame21.bmp	385.191313 ms	16.652024 ms	299 
frame22.bmp	401.811725 ms	16.620412 ms	299 
frame23.bmp	418.460054 ms	16.648329 ms	299 
frame24.bmp	435.098120 ms	16.638066 ms	299 
frame25.bmp	451.741933 ms	16.643813 ms	299 
frame26.bmp	468.424337 ms	16.682404 ms	299 
frame27.bmp	485.056244 ms	16.631907 ms	299 
frame28.bmp	501.603990 ms	16.547746 ms	299 
frame29.bmp	518.326628 ms	16.722637 ms	299 

Estimated latency: 35.445849 ms
Run 4...
Capturing window (5, 36, 1358, 382)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-501.116676 ms	0.000000 ms	0 
frame01.bmp	30.796453 ms	531.913129 ms	318 <-- changed
frame02.bmp	64.087363 ms	33.290911 ms	318 
frame03.bmp	81.216028 ms	17.128664 ms	318 
frame04.bmp	97.822481 ms	16.606454 ms	318 
frame05.bmp	114.435093 ms	16.612612 ms	318 
frame06.bmp	131.099844 ms	16.664751 ms	318 
frame07.bmp	147.675507 ms	16.575663 ms	318 
frame08.bmp	164.304541 ms	16.629034 ms	318 
frame09.bmp	180.971344 ms	16.666804 ms	318 
frame10.bmp	197.569587 ms	16.598243 ms	318 
frame11.bmp	214.233106 ms	16.663519 ms	318 
frame12.bmp	230.841613 ms	16.608506 ms	318 
frame13.bmp	247.473931 ms	16.632318 ms	318 
frame14.bmp	264.138681 ms	16.664751 ms	318 
frame15.bmp	280.845307 ms	16.706626 ms	318 
frame16.bmp	297.468183 ms	16.622875 ms	318 
frame17.bmp	314.076689 ms	16.608506 ms	318 
frame18.bmp	330.678627 ms	16.601938 ms	318 
frame19.bmp	347.317924 ms	16.639297 ms	318 
frame20.bmp	363.958453 ms	16.640529 ms	318 
frame21.bmp	380.523031 ms	16.564578 ms	318 
frame22.bmp	397.147960 ms	16.624928 ms	318 
frame23.bmp	413.818047 ms	16.670088 ms	318 
frame24.bmp	430.451186 ms	16.633139 ms	318 
frame25.bmp	447.105263 ms	16.654077 ms	318 
frame26.bmp	479.765170 ms	32.659906 ms	273 
frame27.bmp	497.100337 ms	17.335167 ms	273 
frame28.bmp	513.718286 ms	16.617949 ms	273 
frame29.bmp	530.439691 ms	16.721406 ms	273 

Estimated latency: 30.796453 ms
Run 5...
Capturing window (5, 36, 1358, 382)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-505.645784 ms	0.000000 ms	0 
frame01.bmp	26.184826 ms	531.830610 ms	370 <-- changed
frame02.bmp	59.453568 ms	33.268741 ms	370 
frame03.bmp	76.548978 ms	17.095410 ms	370 
frame04.bmp	93.186222 ms	16.637244 ms	370 
frame05.bmp	109.825109 ms	16.638887 ms	370 
frame06.bmp	126.530914 ms	16.705805 ms	370 
frame07.bmp	143.075376 ms	16.544462 ms	370 
frame08.bmp	159.674029 ms	16.598653 ms	370 
frame09.bmp	176.395024 ms	16.720995 ms	370 
frame10.bmp	193.008868 ms	16.613844 ms	370 
frame11.bmp	209.624764 ms	16.615896 ms	370 
frame12.bmp	226.227523 ms	16.602759 ms	370 
frame13.bmp	242.890221 ms	16.662698 ms	370 
frame14.bmp	259.524181 ms	16.633960 ms	370 
frame15.bmp	276.163478 ms	16.639297 ms	370 
frame16.bmp	292.774858 ms	16.611380 ms	370 
frame17.bmp	309.439199 ms	16.664340 ms	370 
frame18.bmp	326.046063 ms	16.606864 ms	370 
frame19.bmp	358.770835 ms	32.724772 ms	325 
frame20.bmp	376.099023 ms	17.328188 ms	325 
frame21.bmp	392.724362 ms	16.625339 ms	325 
frame22.bmp	409.351342 ms	16.626981 ms	325 
frame23.bmp	425.982839 ms	16.631497 ms	325 
frame24.bmp	442.604894 ms	16.622054 ms	325 
frame25.bmp	459.185894 ms	16.581000 ms	325 
frame26.bmp	475.860087 ms	16.674193 ms	325 
frame27.bmp	492.488710 ms	16.628623 ms	325 
frame28.bmp	509.087363 ms	16.598653 ms	325 
frame29.bmp	525.745135 ms	16.657772 ms	325 

Estimated latency: 26.184826 ms
Run 6...
Capturing window (5, 36, 1358, 382)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-509.174809 ms	0.000000 ms	0 
frame01.bmp	39.231464 ms	548.406273 ms	342 <-- changed
frame02.bmp	72.512522 ms	33.281058 ms	342 
frame03.bmp	89.615732 ms	17.103210 ms	342 
frame04.bmp	106.184005 ms	16.568273 ms	342 
frame05.bmp	122.872568 ms	16.688562 ms	342 
frame06.bmp	139.482716 ms	16.610149 ms	342 
frame07.bmp	156.193858 ms	16.711142 ms	342 
frame08.bmp	172.813039 ms	16.619181 ms	342 
frame09.bmp	189.777896 ms	16.964858 ms	342 
frame10.bmp	222.117990 ms	32.340094 ms	297 
frame11.bmp	239.434272 ms	17.316282 ms	297 
frame12.bmp	256.069874 ms	16.635602 ms	297 
frame13.bmp	272.622958 ms	16.553083 ms	297 
frame14.bmp	289.294688 ms	16.671730 ms	297 
frame15.bmp	305.946712 ms	16.652024 ms	297 
frame16.bmp	322.566713 ms	16.620002 ms	297 
frame17.bmp	339.232285 ms	16.665572 ms	297 
frame18.bmp	355.831349 ms	16.599064 ms	297 
frame19.bmp	372.432055 ms	16.600706 ms	297 
frame20.bmp	389.100911 ms	16.668856 ms	297 
frame21.bmp	405.803022 ms	16.702110 ms	297 
frame22.bmp	422.418918 ms	16.615896 ms	297 
frame23.bmp	439.049594 ms	16.630676 ms	297 
frame24.bmp	455.705312 ms	16.655719 ms	297 
frame25.bmp	472.312177 ms	16.606864 ms	297 
frame26.bmp	488.951884 ms	16.639708 ms	297 
frame27.bmp	505.615404 ms	16.663519 ms	297 
frame28.bmp	522.161508 ms	16.546104 ms	297 
frame29.bmp	538.834469 ms	16.672962 ms	297 

Estimated latency: 39.231464 ms
Run 7...
Capturing window (5, 36, 1358, 382)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-511.679941 ms	0.000000 ms	0 
frame01.bmp	36.904508 ms	548.584449 ms	326 <-- changed
frame02.bmp	69.956072 ms	33.051564 ms	281 
frame03.bmp	87.088431 ms	17.132359 ms	281 
frame04.bmp	103.699401 ms	16.610970 ms	281 
frame05.bmp	120.330487 ms	16.631086 ms	281 
frame06.bmp	136.959110 ms	16.628623 ms	281 
frame07.bmp	153.622629 ms	16.663519 ms	281 
frame08.bmp	170.221693 ms	16.599064 ms	281 
frame09.bmp	186.886444 ms	16.664751 ms	281 
frame10.bmp	203.588144 ms	16.701700 ms	281 
frame11.bmp	220.162985 ms	16.574842 ms	281 
frame12.bmp	236.786271 ms	16.623286 ms	281 
frame13.bmp	253.417358 ms	16.631086 ms	281 
frame14.bmp	270.009442 ms	16.592085 ms	281 
frame15.bmp	286.734954 ms	16.725511 ms	281 
