aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa • - Sublime Text (UNREGISTERED)
Run 0...
Capturing window (50, 50, 706, 588)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-501.876591 ms	0.000000 ms	0 
frame01.bmp	29.975367 ms	531.851958 ms	333 <-- changed
frame02.bmp	63.376714 ms	33.401347 ms	333 
frame03.bmp	80.319813 ms	16.943099 ms	333 
frame04.bmp	97.021923 ms	16.702110 ms	333 
frame05.bmp	113.655883 ms	16.633960 ms	333 
frame06.bmp	130.408901 ms	16.753017 ms	333 
frame07.bmp	147.198867 ms	16.789966 ms	333 
frame08.bmp	163.500698 ms	16.301831 ms	333 
frame09.bmp	180.037770 ms	16.537072 ms	333 
frame10.bmp	196.750144 ms	16.712374 ms	333 
frame11.bmp	213.420232 ms	16.670088 ms	333 
frame12.bmp	230.058297 ms	16.638066 ms	333 
frame13.bmp	246.717711 ms	16.659414 ms	333 
frame14.bmp	263.538468 ms	16.820757 ms	333 
frame15.bmp	279.928566 ms	16.390098 ms	333 
frame16.bmp	296.682404 ms	16.753839 ms	333 
frame17.bmp	329.733558 ms	33.051154 ms	333 
frame18.bmp	346.860169 ms	17.126611 ms	333 
frame19.bmp	363.062649 ms	16.202480 ms	333 
frame20.bmp	379.773791 ms	16.711142 ms	333 
frame21.bmp	396.443468 ms	16.669677 ms	333 
frame22.bmp	429.109943 ms	32.666475 ms	333 
frame23.bmp	446.224649 ms	17.114706 ms	333 
frame24.bmp	479.391576 ms	33.166927 ms	333 
frame25.bmp	496.363823 ms	16.972247 ms	333 
frame26.bmp	529.277445 ms	32.913622 ms	333 
frame27.bmp	546.363823 ms	17.086378 ms	333 
frame28.bmp	578.960916 ms	32.597093 ms	333 
frame29.bmp	612.636095 ms	33.675179 ms	224 

Estimated latency: 29.975367 ms
Run 1...
Capturing window (50, 50, 706, 588)
filename	timestamp	time diff	byte diff to frame 0
