Untitled 1 - LibreOffice Writer
Run 0...
Capturing window (0, 402, 1366, 728)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-503.625913 ms	0.000000 ms	0 
frame01.bmp	28.232614 ms	531.858527 ms	1672 <-- changed
frame02.bmp	61.411035 ms	33.178422 ms	548 
frame03.bmp	78.650135 ms	17.239100 ms	548 
frame04.bmp	95.381805 ms	16.731669 ms	548 
frame05.bmp	111.965679 ms	16.583874 ms	548 
frame06.bmp	128.600870 ms	16.635192 ms	548 
frame07.bmp	145.265621 ms	16.664751 ms	548 
frame08.bmp	161.883160 ms	16.617538 ms	548 
frame09.bmp	178.461286 ms	16.578126 ms	548 
frame10.bmp	195.109615 ms	16.648329 ms	548 
frame11.bmp	211.755891 ms	16.646276 ms	548 
frame12.bmp	228.393136 ms	16.637244 ms	548 
frame13.bmp	244.996305 ms	16.603169 ms	548 
frame14.bmp	261.663519 ms	16.667214 ms	548 
frame15.bmp	278.274489 ms	16.610970 ms	548 
frame16.bmp	294.913375 ms	16.638887 ms	548 
frame17.bmp	311.575252 ms	16.661877 ms	548 
frame18.bmp	328.396420 ms	16.821168 ms	548 
frame19.bmp	344.900238 ms	16.503818 ms	548 
frame20.bmp	361.703342 ms	16.803104 ms	548 
frame21.bmp	394.307004 ms	32.603662 ms	1236 
frame22.bmp	427.347073 ms	33.040069 ms	1236 
frame23.bmp	444.512686 ms	17.165613 ms	1236 
frame24.bmp	461.245176 ms	16.732490 ms	1236 
frame25.bmp	477.876673 ms	16.631497 ms	1236 
frame26.bmp	494.525413 ms	16.648740 ms	1236 
frame27.bmp	511.146235 ms	16.620823 ms	1236 
frame28.bmp	527.766237 ms	16.620002 ms	1236 
frame29.bmp	544.462189 ms	16.695952 ms	1236 

Estimated latency: 28.232614 ms
Run 1...
Capturing window (0, 402, 1366, 728)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-507.248543 ms	0.000000 ms	0 
frame01.bmp	8.836111 ms	516.084654 ms	51 ignored
frame02.bmp	41.388045 ms	32.551934 ms	156 <-- changed
frame03.bmp	74.541013 ms	33.152968 ms	156 
frame04.bmp	91.564578 ms	17.023565 ms	156 
frame05.bmp	108.262583 ms	16.698005 ms	156 
frame06.bmp	124.956072 ms	16.693489 ms	156 
frame07.bmp	141.695952 ms	16.739880 ms	156 
frame08.bmp	158.219066 ms	16.523114 ms	156 
frame09.bmp	174.853436 ms	16.634371 ms	156 
frame10.bmp	191.486986 ms	16.633550 ms	156 
frame11.bmp	208.118893 ms	16.631907 ms	156 
frame12.bmp	224.667460 ms	16.548567 ms	156 
frame13.bmp	241.377781 ms	16.710321 ms	156 
frame14.bmp	257.985056 ms	16.607275 ms	156 
frame15.bmp	274.628459 ms	16.643403 ms	156 
frame16.bmp	291.257082 ms	16.628623 ms	156 
frame17.bmp	307.888989 ms	16.631907 ms	156 
frame18.bmp	324.509812 ms	16.620823 ms	156 
frame19.bmp	341.173742 ms	16.663930 ms	156 
frame20.bmp	357.787585 ms	16.613844 ms	156 
frame21.bmp	374.509812 ms	16.722227 ms	156 
frame22.bmp	391.122013 ms	16.612201 ms	156 
frame23.bmp	407.797849 ms	16.675835 ms	156 
frame24.bmp	424.363248 ms	16.565399 ms	156 
frame25.bmp	441.024715 ms	16.661466 ms	156 
frame26.bmp	457.639379 ms	16.614665 ms	156 
frame27.bmp	474.190410 ms	16.551030 ms	156 
frame28.bmp	490.868298 ms	16.677888 ms	156 
frame29.bmp	507.511700 ms	16.643403 ms	156 

Estimated latency: 41.388045 ms
Run 2...
Capturing window (0, 402, 1366, 728)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-511.820757 ms	0.000000 ms	0 
frame01.bmp	36.654898 ms	548.475655 ms	156 <-- changed
frame02.bmp	69.888743 ms	33.233845 ms	156 
frame03.bmp	86.983743 ms	17.095000 ms	156 
frame04.bmp	103.695706 ms	16.711963 ms	156 
frame05.bmp	120.335003 ms	16.639297 ms	156 
frame06.bmp	136.987437 ms	16.652435 ms	156 
frame07.bmp	153.618113 ms	16.630676 ms	156 
frame08.bmp	170.244683 ms	16.626570 ms	156 
frame09.bmp	186.862222 ms	16.617538 ms	156 
frame10.bmp	203.562279 ms	16.700057 ms	156 
frame11.bmp	220.181460 ms	16.619181 ms	156 
frame12.bmp	236.820757 ms	16.639297 ms	156 
frame13.bmp	253.430906 ms	16.610149 ms	156 
frame14.bmp	270.079645 ms	16.648740 ms	156 
frame15.bmp	286.725101 ms	16.645455 ms	156 
frame16.bmp	303.335249 ms	16.610149 ms	156 
frame17.bmp	320.086625 ms	16.751375 ms	156 
frame18.bmp	336.569505 ms	16.482880 ms	156 
frame19.bmp	353.090566 ms	16.521061 ms	156 
frame20.bmp	369.853026 ms	16.762460 ms	156 
frame21.bmp	386.480007 ms	16.626981 ms	156 
frame22.bmp	403.124230 ms	16.644224 ms	156 
frame23.bmp	419.759011 ms	16.634781 ms	156 
frame24.bmp	436.385582 ms	16.626570 ms	156 
frame25.bmp	453.181706 ms	16.796124 ms	156 
frame26.bmp	469.699072 ms	16.517366 ms	156 
frame27.bmp	486.324000 ms	16.624928 ms	156 
frame28.bmp	502.928401 ms	16.604401 ms	156 
frame29.bmp	519.585352 ms	16.656950 ms	156 

Estimated latency: 36.654898 ms
Run 3...
Capturing window (0, 402, 1366, 728)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-499.847278 ms	0.000000 ms	0 
frame01.bmp	32.182856 ms	532.030134 ms	147 <-- changed
frame02.bmp	65.350193 ms	33.167337 ms	147 
frame03.bmp	82.340915 ms	16.990722 ms	147 
frame04.bmp	99.134165 ms	16.793251 ms	147 
frame05.bmp	115.666311 ms	16.532145 ms	147 
frame06.bmp	132.340915 ms	16.674604 ms	147 
frame07.bmp	148.968717 ms	16.627802 ms	147 
frame08.bmp	165.596929 ms	16.628212 ms	147 
frame09.bmp	182.248543 ms	16.651613 ms	147 
frame10.bmp	198.888250 ms	16.639708 ms	147 
frame11.bmp	215.496757 ms	16.608506 ms	147 
frame12.bmp	232.154528 ms	16.657772 ms	147 
frame13.bmp	248.785204 ms	16.630676 ms	147 
frame14.bmp	265.543559 ms	16.758355 ms	147 
frame15.bmp	282.077757 ms	16.534198 ms	147 
frame16.bmp	298.719517 ms	16.641760 ms	147 
frame17.bmp	315.445028 ms	16.725511 ms	147 
frame18.bmp	331.976763 ms	16.531735 ms	147 
frame19.bmp	349.030298 ms	17.053535 ms	147 
frame20.bmp	365.185155 ms	16.154857 ms	147 
frame21.bmp	381.748502 ms	16.563347 ms	147 
frame22.bmp	398.400525 ms	16.652024 ms	147 
