gvim (.)
Run 0...
Capturing window (175, 175, 848, 613)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-503.608260 ms	0.000000 ms	0 
frame01.bmp	28.299943 ms	531.908203 ms	247 <-- changed
frame02.bmp	61.518187 ms	33.218245 ms	2971 
frame03.bmp	78.633714 ms	17.115527 ms	2972 
frame04.bmp	111.358075 ms	32.724362 ms	2972 
frame05.bmp	144.664587 ms	33.306511 ms	2972 
frame06.bmp	161.779292 ms	17.114706 ms	2972 
frame07.bmp	178.355366 ms	16.576074 ms	2972 
frame08.bmp	195.022990 ms	16.667625 ms	2972 
frame09.bmp	211.764923 ms	16.741933 ms	2972 
frame10.bmp	228.284752 ms	16.519829 ms	2972 
frame11.bmp	244.915428 ms	16.630676 ms	2972 
frame12.bmp	261.631086 ms	16.715658 ms	2972 
frame13.bmp	278.151737 ms	16.520650 ms	2972 
frame14.bmp	294.825519 ms	16.673783 ms	2972 
frame15.bmp	311.543641 ms	16.718121 ms	2972 
frame16.bmp	328.145989 ms	16.602348 ms	2972 
frame17.bmp	344.789802 ms	16.643813 ms	2972 
frame18.bmp	361.471385 ms	16.681583 ms	2972 
frame19.bmp	378.008457 ms	16.537072 ms	2972 
frame20.bmp	394.611627 ms	16.603169 ms	2972 
frame21.bmp	411.340011 ms	16.728385 ms	2972 
frame22.bmp	427.890631 ms	16.550620 ms	2972 
frame23.bmp	444.552098 ms	16.661466 ms	2972 
frame24.bmp	461.264472 ms	16.712374 ms	2972 
frame25.bmp	477.776501 ms	16.512029 ms	2972 
frame26.bmp	494.444536 ms	16.668035 ms	2972 
frame27.bmp	511.140488 ms	16.695952 ms	2972 
frame28.bmp	527.690287 ms	16.549799 ms	2972 
frame29.bmp	544.352574 ms	16.662288 ms	2972 

Estimated latency: 28.299943 ms
Run 1...
Capturing window (175, 175, 848, 613)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-508.230561 ms	0.000000 ms	0 
frame01.bmp	23.552426 ms	531.782987 ms	247 <-- changed
frame02.bmp	40.617867 ms	17.065441 ms	248 
frame03.bmp	57.418507 ms	16.800640 ms	248 
frame04.bmp	73.976106 ms	16.557599 ms	248 
frame05.bmp	106.733311 ms	32.757205 ms	248 
frame06.bmp	123.866081 ms	17.132770 ms	248 
frame07.bmp	140.544790 ms	16.678709 ms	248 
frame08.bmp	157.159455 ms	16.614665 ms	248 
frame09.bmp	173.915346 ms	16.755891 ms	248 
frame10.bmp	190.398226 ms	16.482880 ms	248 
frame11.bmp	207.032597 ms	16.634371 ms	248 
frame12.bmp	223.761803 ms	16.729206 ms	248 
frame13.bmp	240.230314 ms	16.468511 ms	248 
frame14.bmp	256.939404 ms	16.709089 ms	248 
frame15.bmp	273.687905 ms	16.748502 ms	248 
frame16.bmp	290.194597 ms	16.506692 ms	248 
frame17.bmp	306.855653 ms	16.661056 ms	248 
frame18.bmp	323.583628 ms	16.727974 ms	248 
frame19.bmp	340.090730 ms	16.507102 ms	248 
frame20.bmp	356.712374 ms	16.621644 ms	248 
frame21.bmp	373.477297 ms	16.764923 ms	248 
frame22.bmp	390.035717 ms	16.558420 ms	248 
frame23.bmp	406.709500 ms	16.673783 ms	248 
frame24.bmp	423.467444 ms	16.757944 ms	248 
frame25.bmp	439.923229 ms	16.455785 ms	248 
frame26.bmp	456.592906 ms	16.669677 ms	248 
frame27.bmp	473.247393 ms	16.654487 ms	248 
frame28.bmp	489.780360 ms	16.532967 ms	248 
frame29.bmp	506.458248 ms	16.677888 ms	248 

Estimated latency: 23.552426 ms
Run 2...
Capturing window (175, 175, 848, 613)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-513.796699 ms	0.000000 ms	0 
frame01.bmp	34.658428 ms	548.455128 ms	247 <-- changed
frame02.bmp	51.587158 ms	16.928730 ms	247 
frame03.bmp	68.425569 ms	16.838410 ms	247 
frame04.bmp	101.079727 ms	32.654159 ms	247 
frame05.bmp	118.222350 ms	17.142623 ms	247 
frame06.bmp	134.870268 ms	16.647919 ms	247 
frame07.bmp	151.468511 ms	16.598243 ms	247 
frame08.bmp	168.185401 ms	16.716890 ms	247 
frame09.bmp	184.778307 ms	16.592906 ms	247 
frame10.bmp	201.394203 ms	16.615896 ms	247 
frame11.bmp	218.141062 ms	16.746859 ms	247 
frame12.bmp	234.718368 ms	16.577305 ms	247 
frame13.bmp	251.406109 ms	16.687741 ms	247 
frame14.bmp	268.063059 ms	16.656950 ms	247 
frame15.bmp	284.588226 ms	16.525166 ms	247 
frame16.bmp	301.198785 ms	16.610559 ms	247 
frame17.bmp	317.914443 ms	16.715658 ms	247 
frame18.bmp	334.468758 ms	16.554315 ms	247 
frame19.bmp	351.122424 ms	16.653666 ms	247 
frame20.bmp	367.790459 ms	16.668035 ms	247 
frame21.bmp	384.374743 ms	16.584284 ms	247 
frame22.bmp	401.010756 ms	16.636013 ms	247 
frame23.bmp	417.743247 ms	16.732490 ms	247 
frame24.bmp	434.280319 ms	16.537072 ms	247 
frame25.bmp	450.909352 ms	16.629034 ms	247 
frame26.bmp	467.645127 ms	16.735775 ms	247 
frame27.bmp	484.232285 ms	16.587158 ms	247 
frame28.bmp	500.849002 ms	16.616717 ms	247 
frame29.bmp	517.583956 ms	16.734954 ms	247 

Estimated latency: 34.658428 ms
Run 3...
Capturing window (175, 175, 848, 613)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-502.839314 ms	0.000000 ms	0 
frame01.bmp	28.922325 ms	531.761639 ms	247 <-- changed
frame02.bmp	46.000493 ms	17.078167 ms	247 
frame03.bmp	62.875031 ms	16.874538 ms	247 
frame04.bmp	95.506610 ms	32.631579 ms	247 
frame05.bmp	112.615978 ms	17.109369 ms	247 
frame06.bmp	129.282371 ms	16.666393 ms	247 
frame07.bmp	145.848592 ms	16.566221 ms	247 
frame08.bmp	162.557681 ms	16.709089 ms	247 
frame09.bmp	179.174399 ms	16.616717 ms	247 
frame10.bmp	195.749240 ms	16.574842 ms	247 
frame11.bmp	212.472288 ms	16.723048 ms	247 
frame12.bmp	229.091469 ms	16.619181 ms	247 
frame13.bmp	245.664669 ms	16.573200 ms	247 
frame14.bmp	262.377864 ms	16.713195 ms	247 
frame15.bmp	278.980622 ms	16.602759 ms	247 
frame16.bmp	295.564496 ms	16.583874 ms	247 
frame17.bmp	312.306019 ms	16.741522 ms	247 
frame18.bmp	328.955169 ms	16.649150 ms	247 
frame19.bmp	345.483619 ms	16.528451 ms	247 
frame20.bmp	362.216931 ms	16.733311 ms	247 
frame21.bmp	378.788899 ms	16.571968 ms	247 
frame22.bmp	395.370310 ms	16.581411 ms	247 
frame23.bmp	412.057230 ms	16.686920 ms	247 
frame24.bmp	428.685032 ms	16.627802 ms	247 
frame25.bmp	445.265621 ms	16.580590 ms	247 
frame26.bmp	461.974711 ms	16.709089 ms	247 
frame27.bmp	478.573775 ms	16.599064 ms	247 
frame28.bmp	495.191313 ms	16.617538 ms	247 
frame29.bmp	511.886854 ms	16.695542 ms	247 

Estimated latency: 28.922325 ms
Run 4...
Capturing window (175, 175, 848, 613)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-508.502340 ms	0.000000 ms	0 
frame01.bmp	23.270794 ms	531.773134 ms	247 <-- changed
frame02.bmp	40.313655 ms	17.042861 ms	247 
frame03.bmp	57.074472 ms	16.760818 ms	247 
frame04.bmp	73.684621 ms	16.610149 ms	247 
frame05.bmp	106.421709 ms	32.737088 ms	247 
frame06.bmp	123.553247 ms	17.131538 ms	247 
frame07.bmp	140.149848 ms	16.596601 ms	247 
frame08.bmp	156.837589 ms	16.687741 ms	247 
frame09.bmp	173.583628 ms	16.746038 ms	247 
frame10.bmp	190.132195 ms	16.548567 ms	247 
frame11.bmp	206.718532 ms	16.586337 ms	247 
frame12.bmp	223.480992 ms	16.762460 ms	247 
frame13.bmp	239.973315 ms	16.492323 ms	247 
frame14.bmp	256.636834 ms	16.663519 ms	247 
frame15.bmp	273.386567 ms	16.749733 ms	247 
frame16.bmp	289.907628 ms	16.521061 ms	247 
frame17.bmp	306.549388 ms	16.641760 ms	247 
frame18.bmp	323.269152 ms	16.719764 ms	247 
frame19.bmp	339.774612 ms	16.505460 ms	247 
frame20.bmp	356.438952 ms	16.664340 ms	247 
frame21.bmp	373.172264 ms	16.733311 ms	247 
frame22.bmp	389.689630 ms	16.517366 ms	247 
frame23.bmp	406.532145 ms	16.842516 ms	247 
frame24.bmp	423.090976 ms	16.558831 ms	247 
frame25.bmp	439.615321 ms	16.524345 ms	247 
frame26.bmp	456.259545 ms	16.644224 ms	247 
frame27.bmp	472.973972 ms	16.714426 ms	247 
frame28.bmp	489.499548 ms	16.525577 ms	247 
frame29.bmp	506.152804 ms	16.653256 ms	247 

Estimated latency: 23.270794 ms
Run 5...
Capturing window (175, 175, 848, 613)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-514.111175 ms	0.000000 ms	0 
frame01.bmp	34.306183 ms	548.417358 ms	247 <-- changed
frame02.bmp	51.274735 ms	16.968552 ms	247 
frame03.bmp	68.142294 ms	16.867559 ms	247 
frame04.bmp	100.786600 ms	32.644306 ms	247 
frame05.bmp	117.900484 ms	17.113885 ms	247 
frame06.bmp	134.582067 ms	16.681583 ms	247 
frame07.bmp	151.164299 ms	16.582232 ms	247 
frame08.bmp	167.955497 ms	16.791198 ms	247 
frame09.bmp	184.477790 ms	16.522292 ms	247 
frame10.bmp	201.099433 ms	16.621644 ms	247 
frame11.bmp	217.845472 ms	16.746038 ms	247 
frame12.bmp	234.632975 ms	16.787503 ms	247 
frame13.bmp	251.034978 ms	16.402003 ms	247 
frame14.bmp	267.757616 ms	16.722637 ms	247 
frame15.bmp	284.307825 ms	16.550209 ms	247 
frame16.bmp	300.888825 ms	16.581000 ms	247 
frame17.bmp	317.622958 ms	16.734133 ms	247 
frame18.bmp	334.171525 ms	16.548567 ms	247 
frame19.bmp	350.814517 ms	16.642992 ms	247 
frame20.bmp	367.550291 ms	16.735775 ms	247 
frame21.bmp	384.059036 ms	16.508745 ms	247 
frame22.bmp	400.728713 ms	16.669677 ms	247 
frame23.bmp	417.423844 ms	16.695131 ms	247 
frame24.bmp	433.967485 ms	16.543641 ms	247 
frame25.bmp	450.614582 ms	16.647097 ms	247 
frame26.bmp	467.321619 ms	16.707037 ms	247 
frame27.bmp	483.944084 ms	16.622465 ms	247 
frame28.bmp	500.544790 ms	16.600706 ms	247 
frame29.bmp	517.271122 ms	16.726332 ms	247 

Estimated latency: 34.306183 ms
Run 6...
Capturing window (175, 175, 848, 613)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-504.204368 ms	0.000000 ms	0 
frame01.bmp	27.577798 ms	531.782166 ms	247 <-- changed
frame02.bmp	44.634617 ms	17.056819 ms	247 
frame03.bmp	61.400361 ms	16.765744 ms	247 
frame04.bmp	78.173906 ms	16.773545 ms	247 
frame05.bmp	110.762788 ms	32.588883 ms	247 
frame06.bmp	127.920190 ms	17.157402 ms	247 
frame07.bmp	144.493801 ms	16.573610 ms	247 
frame08.bmp	161.135151 ms	16.641350 ms	247 
frame09.bmp	177.884063 ms	16.748912 ms	247 
frame10.bmp	194.396092 ms	16.512029 ms	247 
frame11.bmp	211.042779 ms	16.646687 ms	247 
frame12.bmp	227.782659 ms	16.739880 ms	247 
frame13.bmp	244.301667 ms	16.519008 ms	247 
frame14.bmp	260.954101 ms	16.652435 ms	247 
frame15.bmp	277.690287 ms	16.736185 ms	247 
frame16.bmp	294.203958 ms	16.513671 ms	247 
frame17.bmp	310.860087 ms	16.656129 ms	247 
frame18.bmp	327.654159 ms	16.794072 ms	247 
frame19.bmp	344.125133 ms	16.470975 ms	247 
frame20.bmp	360.783316 ms	16.658182 ms	247 
frame21.bmp	377.543312 ms	16.759997 ms	247 
frame22.bmp	394.030298 ms	16.486986 ms	247 
frame23.bmp	410.626078 ms	16.595780 ms	247 
frame24.bmp	427.386485 ms	16.760407 ms	247 
frame25.bmp	443.930126 ms	16.543641 ms	247 
frame26.bmp	460.574349 ms	16.644224 ms	247 
frame27.bmp	477.287544 ms	16.713195 ms	247 
frame28.bmp	493.805731 ms	16.518187 ms	247 
frame29.bmp	510.458987 ms	16.653256 ms	247 

Estimated latency: 27.577798 ms
Run 7...
Capturing window (175, 175, 848, 613)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-509.861237 ms	0.000000 ms	0 
frame01.bmp	38.550784 ms	548.412021 ms	247 <-- changed
frame02.bmp	71.812957 ms	33.262173 ms	247 
frame03.bmp	105.215124 ms	33.402168 ms	247 
frame04.bmp	122.271944 ms	17.056819 ms	247 
frame05.bmp	138.843501 ms	16.571558 ms	247 
frame06.bmp	155.491420 ms	16.647919 ms	247 
frame07.bmp	172.294113 ms	16.802693 ms	247 
frame08.bmp	188.779867 ms	16.485754 ms	247 
frame09.bmp	205.420396 ms	16.640529 ms	247 
frame10.bmp	222.177108 ms	16.756712 ms	247 
frame11.bmp	238.609492 ms	16.432384 ms	247 
frame12.bmp	255.306265 ms	16.696773 ms	247 
frame13.bmp	272.037113 ms	16.730848 ms	247 
frame14.bmp	288.530668 ms	16.493554 ms	247 
frame15.bmp	305.192545 ms	16.661877 ms	247 
frame16.bmp	321.937762 ms	16.745217 ms	247 
frame17.bmp	338.432958 ms	16.495197 ms	247 
frame18.bmp	355.146153 ms	16.713195 ms	247 
frame19.bmp	371.852369 ms	16.706216 ms	247 
frame20.bmp	388.344692 ms	16.492323 ms	247 
frame21.bmp	405.094425 ms	16.749733 ms	247 
frame22.bmp	421.975121 ms	16.880696 ms	247 
frame23.bmp	438.244109 ms	16.268988 ms	247 
frame24.bmp	454.930618 ms	16.686510 ms	247 
frame25.bmp	471.640939 ms	16.710321 ms	247 
frame26.bmp	488.092208 ms	16.451269 ms	247 
frame27.bmp	504.793497 ms	16.701289 ms	247 
frame28.bmp	521.554725 ms	16.761228 ms	247 
frame29.bmp	538.035142 ms	16.480417 ms	247 

Estimated latency: 38.550784 ms
Run 8...
Capturing window (175, 175, 848, 613)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-513.394367 ms	0.000000 ms	0 
frame01.bmp	35.001642 ms	548.396010 ms	247 <-- changed
frame02.bmp	52.021923 ms	17.020281 ms	247 
frame03.bmp	68.843912 ms	16.821989 ms	247 
frame04.bmp	101.508745 ms	32.664833 ms	247 
frame05.bmp	118.612366 ms	17.103621 ms	247 
frame06.bmp	135.306675 ms	16.694310 ms	247 
frame07.bmp	151.898760 ms	16.592085 ms	247 
frame08.bmp	168.646851 ms	16.748091 ms	247 
frame09.bmp	185.192545 ms	16.545693 ms	247 
frame10.bmp	201.821168 ms	16.628623 ms	247 
frame11.bmp	218.607439 ms	16.786271 ms	247 
frame12.bmp	235.139585 ms	16.532145 ms	247 
frame13.bmp	251.670909 ms	16.531324 ms	247 
frame14.bmp	268.485508 ms	16.814599 ms	247 
frame15.bmp	285.023401 ms	16.537893 ms	247 
frame16.bmp	301.589621 ms	16.566221 ms	247 
frame17.bmp	318.356187 ms	16.766565 ms	247 
frame18.bmp	334.904754 ms	16.548567 ms	247 
frame19.bmp	351.533377 ms	16.628623 ms	247 
frame20.bmp	368.255604 ms	16.722227 ms	247 
frame21.bmp	384.794318 ms	16.538714 ms	247 
frame22.bmp	401.451679 ms	16.657361 ms	247 
frame23.bmp	418.139831 ms	16.688152 ms	247 
frame24.bmp	434.701946 ms	16.562115 ms	247 
frame25.bmp	451.328927 ms	16.626981 ms	247 
frame26.bmp	468.100008 ms	16.771081 ms	247 
frame27.bmp	484.636259 ms	16.536251 ms	247 
frame28.bmp	501.250924 ms	16.614665 ms	247 
frame29.bmp	517.999015 ms	16.748091 ms	247 

Estimated latency: 35.001642 ms
Run 9...
Capturing window (175, 175, 848, 613)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-502.484605 ms	0.000000 ms	0 
frame01.bmp	29.281140 ms	531.765744 ms	247 <-- changed
frame02.bmp	46.340833 ms	17.059693 ms	247 
frame03.bmp	63.362345 ms	17.021512 ms	247 
frame04.bmp	95.892930 ms	32.530585 ms	247 
frame05.bmp	112.955087 ms	17.062156 ms	247 
frame06.bmp	129.591510 ms	16.636423 ms	247 
frame07.bmp	146.224238 ms	16.632728 ms	247 
