untitled - Sublime Text (UNREGISTERED)
Run 0...
Capturing window (50, 50, 706, 588)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-513.237129 ms	0.000000 ms	0 
frame01.bmp	2.135233 ms	515.372362 ms	102 <-- changed
frame02.bmp	4.005255 ms	1.870022 ms	3755 
frame03.bmp	5.903194 ms	1.897939 ms	3755 
frame04.bmp	7.371295 ms	1.468101 ms	4027 
frame05.bmp	8.889071 ms	1.517777 ms	4027 
frame06.bmp	10.442155 ms	1.553083 ms	4027 
frame07.bmp	11.961163 ms	1.519008 ms	4027 
frame08.bmp	13.498235 ms	1.537072 ms	4027 
frame09.bmp	15.066097 ms	1.567863 ms	4027 
frame10.bmp	16.714426 ms	1.648329 ms	4027 
frame11.bmp	18.226455 ms	1.512029 ms	4027 
frame12.bmp	19.771738 ms	1.545283 ms	4027 
frame13.bmp	21.302652 ms	1.530914 ms	4027 
frame14.bmp	23.263815 ms	1.961163 ms	4027 
frame15.bmp	25.162575 ms	1.898760 ms	4027 
frame16.bmp	27.153707 ms	1.991132 ms	4027 
frame17.bmp	29.092290 ms	1.938583 ms	4027 
frame18.bmp	31.013219 ms	1.920929 ms	4027 
frame19.bmp	33.615650 ms	2.602430 ms	4027 
frame20.bmp	36.170457 ms	2.554807 ms	4679 
frame21.bmp	38.312669 ms	2.142212 ms	20501 
frame22.bmp	39.836604 ms	1.523935 ms	20501 
frame23.bmp	41.785861 ms	1.949257 ms	20501 
frame24.bmp	43.756877 ms	1.971016 ms	20501 
frame25.bmp	45.741851 ms	1.984974 ms	20501 
frame26.bmp	47.716972 ms	1.975121 ms	20501 
frame27.bmp	49.693325 ms	1.976353 ms	20501 
frame28.bmp	51.660235 ms	1.966910 ms	20501 
frame29.bmp	53.641925 ms	1.981690 ms	20501 

Estimated latency: 2.135233 ms
Run 1...
Capturing window (50, 50, 706, 588)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-512.917727 ms	0.000000 ms	0 
frame01.bmp	3.104524 ms	516.022251 ms	102 <-- changed
frame02.bmp	4.646523 ms	1.541999 ms	393 
frame03.bmp	6.591264 ms	1.944741 ms	393 
frame04.bmp	8.590196 ms	1.998933 ms	393 
frame05.bmp	10.501273 ms	1.911076 ms	393 
frame06.bmp	12.502669 ms	2.001396 ms	393 
frame07.bmp	14.495854 ms	1.993185 ms	393 
frame08.bmp	16.456606 ms	1.960752 ms	393 
frame09.bmp	18.434601 ms	1.977995 ms	393 
frame10.bmp	20.422038 ms	1.987437 ms	393 
frame11.bmp	22.329009 ms	1.906971 ms	393 
frame12.bmp	24.317678 ms	1.988669 ms	393 
frame13.bmp	26.227523 ms	1.909845 ms	393 
frame14.bmp	28.198128 ms	1.970605 ms	393 
frame15.bmp	30.178176 ms	1.980048 ms	393 
frame16.bmp	32.746120 ms	2.567945 ms	393 
frame17.bmp	35.015601 ms	2.269480 ms	393 
frame18.bmp	37.531817 ms	2.516216 ms	4019 
frame19.bmp	39.508170 ms	1.976353 ms	4019 
frame20.bmp	41.553083 ms	2.044913 ms	4019 
frame21.bmp	43.546679 ms	1.993596 ms	4019 
frame22.bmp	45.596929 ms	2.050250 ms	4019 
frame23.bmp	47.687002 ms	2.090073 ms	4019 
frame24.bmp	49.796371 ms	2.109369 ms	4019 
frame25.bmp	51.712784 ms	1.916413 ms	4019 
frame26.bmp	53.785615 ms	2.072830 ms	4019 
frame27.bmp	55.833812 ms	2.048198 ms	4019 
frame28.bmp	57.768290 ms	1.934477 ms	4019 
frame29.bmp	59.774201 ms	2.005912 ms	4019 

Estimated latency: 3.104524 ms
Run 2...
Capturing window (50, 50, 706, 588)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-512.836440 ms	0.000000 ms	0 
frame01.bmp	3.090566 ms	515.927006 ms	102 <-- changed
frame02.bmp	5.041054 ms	1.950489 ms	420 
frame03.bmp	7.012070 ms	1.971016 ms	420 
frame04.bmp	9.030709 ms	2.018639 ms	420 
frame05.bmp	10.952049 ms	1.921340 ms	420 
frame06.bmp	12.962476 ms	2.010428 ms	420 
frame07.bmp	14.991379 ms	2.028902 ms	420 
frame08.bmp	17.492405 ms	2.501026 ms	420 
frame09.bmp	19.482716 ms	1.990311 ms	420 
frame10.bmp	21.545693 ms	2.062977 ms	420 
frame11.bmp	23.506856 ms	1.961163 ms	420 
frame12.bmp	25.543148 ms	2.036292 ms	420 
frame13.bmp	27.492405 ms	1.949257 ms	420 
frame14.bmp	29.442894 ms	1.950489 ms	420 
frame15.bmp	31.711553 ms	2.268659 ms	420 
frame16.bmp	33.958043 ms	2.246490 ms	420 
frame17.bmp	36.280483 ms	2.322440 ms	3950 
frame18.bmp	38.276542 ms	1.996059 ms	4049 
frame19.bmp	40.185565 ms	1.909024 ms	4049 
frame20.bmp	42.196404 ms	2.010838 ms	4049 
frame21.bmp	44.212990 ms	2.016586 ms	4049 
frame22.bmp	46.124477 ms	1.911487 ms	4049 
frame23.bmp	48.800394 ms	2.675918 ms	4049 
frame24.bmp	50.712292 ms	1.911898 ms	4049 
