gvim (.)
Run 0...
Capturing window (125, 125, 798, 563)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-513.595944 ms	0.000000 ms	0 
frame01.bmp	1.532145 ms	515.128089 ms	84 ignored
frame02.bmp	4.146892 ms	2.614747 ms	685 <-- changed
frame03.bmp	5.505789 ms	1.358896 ms	685 
frame04.bmp	6.976353 ms	1.470564 ms	685 
frame05.bmp	8.131620 ms	1.155267 ms	685 
frame06.bmp	9.424830 ms	1.293210 ms	685 
frame07.bmp	10.623204 ms	1.198374 ms	685 
frame08.bmp	11.901634 ms	1.278430 ms	685 
frame09.bmp	13.089745 ms	1.188111 ms	685 
frame10.bmp	14.379670 ms	1.289925 ms	685 
frame11.bmp	15.618688 ms	1.239018 ms	685 
frame12.bmp	16.906560 ms	1.287873 ms	685 
frame13.bmp	18.099598 ms	1.193037 ms	685 
frame14.bmp	19.388291 ms	1.288694 ms	685 
frame15.bmp	21.046063 ms	1.657772 ms	685 
frame16.bmp	22.744478 ms	1.698415 ms	685 
frame17.bmp	24.425240 ms	1.680762 ms	685 
frame18.bmp	26.094917 ms	1.669677 ms	685 
frame19.bmp	27.820839 ms	1.725922 ms	685 
frame20.bmp	29.456441 ms	1.635602 ms	685 
frame21.bmp	30.741030 ms	1.284588 ms	685 
frame22.bmp	32.478857 ms	1.737827 ms	685 
frame23.bmp	34.185894 ms	1.707037 ms	685 
frame24.bmp	35.859266 ms	1.673372 ms	685 
frame25.bmp	37.574514 ms	1.715248 ms	685 
frame26.bmp	39.230643 ms	1.656129 ms	685 
frame27.bmp	41.014862 ms	1.784219 ms	685 
frame28.bmp	42.648822 ms	1.633960 ms	685 
frame29.bmp	44.431809 ms	1.782987 ms	685 

Estimated latency: 4.146892 ms
Run 1...
Capturing window (125, 125, 798, 563)
filename	timestamp	time diff	byte diff to frame 0
frame00.bmp	-513.127925 ms	0.000000 ms	0 
frame01.bmp	1.962805 ms	515.090730 ms	163 <-- changed
